0.323	0.00395	0.00029
0.608	0.00424	0.00023
1.4	0.0048	0.00048
1.4	0.0028	0.0005
1.465	0.005	0.001
1.465	0.003	0.001
1.49	0.00274	0.000108
2.695	0.004	0.002
4.86	0.00494	0.0003405437
4.86	0.00462	0.0002620324
4.86	0.00453	0.0002907632
4.885	0.0058	0.0006
4.885	0.005	0.0006
4.885	0.0043	0.0002
4.885	0.0052	0.0005
4.885	0.0057	0.0005
4.885	0.0064	0.0001
5.	0.0065	0.000066
8.085	0.008	0.002
8.44	0.00519	0.0002955338
8.44	0.00505	0.0003065163
8.44	0.00579	0.0003371517
8.44	0.00793	0.0005108632
8.44	0.00581	0.0004123242
10.5	0.0073	0.0028
10.69	0.008	0.002
14.94	0.0065	0.000066
14.949	0.00514	0.0004311206
14.965	0.009	0.001
14.965	0.0075	0.0007
14.965	0.0111	0.001
15.	0.0086	0.002
86.	0.0327	0.0078
90.	0.068	0.027
112.6	0.075	0.0075
226.	0.894	0.153
230.	0.28	0.009
230.	0.253	0.018
231.	0.28	0.009
250.	0.296	0.025
272.	0.32	0.03
272.	0.579	0.027
284.	0.417	0.041
341.	0.304	0.03
353.	2.25	0.225
353.	2.47	0.247
353.	0.628	0.017
375.	1.216	0.044
375.	0.86	0.08
380.	1.07	0.11
390.	0.91	0.09
463.	1.3	0.2
676.	2.6	0.4
676.	1.655	0.218
676.	6.71	0.61
854.	10.17	0.73
854.	8.149	0.253
